"nombre_cientifico","nombre_comun","familia","registros","gbif"
"Dypsis lutescens","Palma areca","PALMAE","25355","https://www.gbif.org/es/species/2735935"
"Cenostigma pluviosum","Acacia robinia","FABACEAE","24632","https://www.gbif.org/es/species/9416767"
"Geoffroea spinosa","Ébano","FABACEAE","21990","https://www.gbif.org/es/species/2966693"
"Mangifera indica","Mango","ANACARDIACEAE","16054","https://www.gbif.org/es/species/3190638"
"Adonidia merrillii","Palma manila","PALMAE","15644","https://www.gbif.org/es/species/2738434"
"Swinglea glutinosa","Limón suingle","RUTACEAE","14877","https://www.gbif.org/es/species/3837155"
"Tabebuia rosea","Guayacán rosado","BIGNONIACEAE","13841","https://www.gbif.org/es/species/3172537"
"Terminalia catappa","Almendro","COMBRETACEAE","11767","https://www.gbif.org/es/species/3189394"
"Roystonea regia","Palma real de Cuba","PALMAE","10614","https://www.gbif.org/es/species/2733755"
"Pithecellobium dulce","Chiminango","MIMOSACEAE","9909","https://www.gbif.org/es/species/2962831"
"Ficus benjamina","Ficus benjamina","MORACEAE","9640","https://www.gbif.org/es/species/5361932"
"Samanea saman","Samán","FABACEAE","8538","https://www.gbif.org/es/species/2972960"
"Annona muricata","Guanábano","ANNONACEAE","8123","https://www.gbif.org/es/species/5407273"
"Sin Identificar","Sin Identificar","DESCONOCIDA","7407",NULL
"Guazuma ulmifolia","Guásimo","STERCULIACEAE","6957","https://www.gbif.org/es/species/3152195"
"Platycladus orientalis","Pino libro","DESCONOCIDA","6374","https://www.gbif.org/es/species/2684855"
"Persea americana","Aguacate","LAURACEAE","5807","https://www.gbif.org/es/species/3034046"
"Melicoccus bijugatus","Mamoncillo","SAPINDACEAE","4904","https://www.gbif.org/es/species/3189990"
"Cascabela thevetia","Cojón de cabrito","DESCONOCIDA","4694","https://www.gbif.org/es/species/3169652"
"Spathodea campanulata","Tulipán africano","BIGNONIACEAE","4532","https://www.gbif.org/es/species/3172574"
"Jacaranda caucana","Gualanday","BIGNONIACEAE","4490","https://www.gbif.org/es/species/7298785"
"Senna spectabilis","Vainillo","CAESALPINIACEAE","3356","https://www.gbif.org/es/species/2957438"
"Citrus limon","Limón","RUTACEAE","3056","https://www.gbif.org/es/species/7647136"
"Clitoria fairchildiana","Bohío","DESCONOCIDA","3043","https://www.gbif.org/es/species/2946600"
"Araucaria columnaris","Araucaria","ARAUCARIACEAE","2914","https://www.gbif.org/es/species/2684921"
"Morinda citrifolia","Noni","RUBIACEAE","2784","https://www.gbif.org/es/species/5339879"
"Elaeis guineensis","Palma africana","PALMAE","2658","https://www.gbif.org/es/species/2731882"
"Cupania glabra","Mestizo","SAPINDACEAE","2633","https://www.gbif.org/es/species/3189962"
"Psidium guajava","Guayaba","MYRTACEAE","2626","https://www.gbif.org/es/species/5420380"
"Guarea guidonia","Trompillo","MELIACEAE","2487","https://www.gbif.org/es/species/3190500"
"Senna siamea","Acacia amarilla","CAESALPINIACEAE","2463","https://www.gbif.org/es/species/2956905"
"Handroanthus chrysanthus","Guayacán amarillo","BIGNONIACEAE","2422","https://www.gbif.org/es/species/6401337"
"Crescentia cujete","Totumo","BIGNONIACEAE","2199","https://www.gbif.org/es/species/5415081"
"Ocotea aurantiodora","Orejaemula","LAURACEAE","2090","https://www.gbif.org/es/species/4177404"
"Cocos nucifera","Palma de coco","PALMAE","2038","https://www.gbif.org/es/species/2735117"
"Leucaena leucocephala","Leucaena","MIMOSACEAE","2025","https://www.gbif.org/es/species/2970418"
"Calliandra pittieri","Carbonero","MIMOSACEAE","1969","https://www.gbif.org/es/species/2981948"
"Citrus ×aurantium","Naranja","RUTACEAE","1937",NULL
"Lacistema aggregatum","Cafecillo","LACISTEMATACEAE","1878","https://www.gbif.org/es/species/3075397"
"Miconia minutiflora","Nigüito","MELASTOMATACEAE","1835","https://www.gbif.org/es/species/10932080"
"Heptapleurum actinophyllum","Cheflera","ARALIACEAE","1814","https://www.gbif.org/es/species/11008739"
"Roystonea oleracea","Palma botella","PALMAE","1737","https://www.gbif.org/es/species/2733738"
"Murraya paniculata","Mirto","RUTACEAE","1728","https://www.gbif.org/es/species/8190743"
"Syagrus sancona","Palma zancona","PALMAE","1627","https://www.gbif.org/es/species/5293840"
"Plumeria rubra","Azuceno rojo","APOCYNACEAE","1613","https://www.gbif.org/es/species/3169674"
"Gliricidia sepium","Matarratón","FABACEAE","1606","https://www.gbif.org/es/species/8082978"
"Malpighia glabra","Huesito","MALPIGHIACEAE","1603","https://www.gbif.org/es/species/5421429"
"Washingtonia filifera","Palma abanico de California","PALMAE","1579","https://www.gbif.org/es/species/5294589"
"Ceiba pentandra","Ceiba","BOMBACACEAE","1573","https://www.gbif.org/es/species/5406697"
"Sapindus saponaria","Chambimbe","SAPINDACEAE","1507","https://www.gbif.org/es/species/8017915"
"Cananga odorata","Cadmia","ANNONACEAE","1465","https://www.gbif.org/es/species/5407583"
"Moringa oleifera","Moringa","MORINGACEAE","1465","https://www.gbif.org/es/species/3054181"
"Trichanthera gigantea","Nacedero","ACANTHACEAE","1447","https://www.gbif.org/es/species/8138695"
"Citrus reticulata","Mandarina","RUTACEAE","1429","https://www.gbif.org/es/species/3190172"
"Delonix regia","Flamboyán","CAESALPINIACEAE","1406","https://www.gbif.org/es/species/2956176"
"Phoenix roebelenii","Palma robellini","PALMAE","1328","https://www.gbif.org/es/species/5293153"
"Aiouea montana","Jigua","LAURACEAE","1309","https://www.gbif.org/es/species/9671278"
"Zanthoxylum rhoifolium","Tachuelo","RUTACEAE","1275","https://www.gbif.org/es/species/7269222"
"Dypsis madagascariensis","Palma de Madagascar","PALMAE","1255","https://www.gbif.org/es/species/12236061"
"Cupressus sempervirens","Pino vela","CUPRESSACEAE","1247","https://www.gbif.org/es/species/2684030"
"Cassia fistula","Lluvia de oro","CAESALPINIACEAE","1218","https://www.gbif.org/es/species/5357108"
"Erythroxylum citrifolium","Coca de monte","ERYTHROXYLACEAE","1214","https://www.gbif.org/es/species/7284809"
"Syzygium malaccense","Pera de malaca","MYRTACEAE","1208","https://www.gbif.org/es/species/3184509"
"Inga edulis","Guamo","MIMOSACEAE","1192","https://www.gbif.org/es/species/5357677"
"Caesalpinia pulcherrima","Clavellino","CAESALPINIACEAE","1184","https://www.gbif.org/es/species/2958715"
"Bauhinia purpurea","Casco de vaca","CAESALPINIACEAE","1179","https://www.gbif.org/es/species/2953871"
"Catalpa longissima","Crispeto","DESCONOCIDA","1174","https://www.gbif.org/es/species/3172614"
"Moquilea tomentosa","Oití","CHRYSOBALANACEAE","1099","https://www.gbif.org/es/species/2985500"
"Cedrela odorata","Cedro rosado","MELIACEAE","1087","https://www.gbif.org/es/species/3190511"
"Cordia alliodora","Nogal cafetero","BORAGINACEAE","1086","https://www.gbif.org/es/species/7649215"
"Cecropia peltata","Yarumo","CECROPIACEAE","1086","https://www.gbif.org/es/species/2984476"
"Croton gossypiifolius","Sangregao","EUPHORBIACEAE","1017","https://www.gbif.org/es/species/3059672"
"Ficus obtusifolia","Amate","MORACEAE","1015","https://www.gbif.org/es/species/5361910"
"Megaskepasma erythrochlamys","Pavoncillo rojo","ACANTHACEAE","998","https://www.gbif.org/es/species/3773061"
"Myrcia selloi","Arrayán cerezo","MYRTACEAE","967","https://www.gbif.org/es/species/3173954"
"Toxicodendron striatum","Caspi","ANACARDIACEAE","895","https://www.gbif.org/es/species/4928885"
"Pimenta racemosa","Guayabita","MYRTACEAE","863","https://www.gbif.org/es/species/3186096"
"Pachira aquatica","Cacao de monte","MALVACEAE","837","https://www.gbif.org/es/species/3152235"
"Trichilia pallida","Cedrillo","MELIACEAE","832","https://www.gbif.org/es/species/3190491"
"Guaiacum officinale","Guayaco","ZYGOPHYLLACEAE","826","https://www.gbif.org/es/species/3986813"
"Couroupita guianensis","Bala de cañón","DESCONOCIDA","820","https://www.gbif.org/es/species/3082562"
"Simarouba amara","Amargo","SIMAROUBACEAE","802","https://www.gbif.org/es/species/7720664"
"Plectrocarpa carrapo","Guayacán carrapo","ZYGOPHYLLACEAE","784","https://www.gbif.org/es/species/9749743"
"Bunchosia armeniaca","Ciruelo de monte","MALPIGHIACEAE","749","https://www.gbif.org/es/species/8398507"
"Lagerstroemia speciosa","Flor de reina","LYTHRACEAE","749","https://www.gbif.org/es/species/3188724"
"Myrcia popayanensis","Arrayancito","MYRTACEAE","720","https://www.gbif.org/es/species/3173930"
"Ficus elastica","Caucho","MORACEAE","718","https://www.gbif.org/es/species/7835333"
"Plumeria alba","Amancayo blanco","APOCYNACEAE","700","https://www.gbif.org/es/species/3169673"
"Tabebuia heterophylla","Guayacán enano","BIGNONIACEAE","679","https://www.gbif.org/es/species/3172526"
"Solanum umbellatum","Barba de chivo","SOLANACEAE","677","https://www.gbif.org/es/species/2929008"
"Jacaranda hesperia","Chingalé","BIGNONIACEAE","657","https://www.gbif.org/es/species/4094004"
"Bauhinia variegata","Casco de buey","CAESALPINIACEAE","651","https://www.gbif.org/es/species/2953251"
"Hymenaea courbaril","Algarrobo","CAESALPINIACEAE","644","https://www.gbif.org/es/species/2950750"
"Genipa americana","Jagua","RUBIACEAE","642","https://www.gbif.org/es/species/2895593"
"Pseudosamanea guachapele","Iguá","FABACEAE","640","https://www.gbif.org/es/species/2972923"
"Blighia sapida","Huevo vegetal","SAPINDACEAE","636","https://www.gbif.org/es/species/3189955"
"Tecoma stans","Chicalá","BIGNONIACEAE","633","https://www.gbif.org/es/species/3172492"
"Swietenia macrophylla","Caoba","MELIACEAE","630","https://www.gbif.org/es/species/3190484"
"Azadirachta indica","Neem","MELIACEAE","629","https://www.gbif.org/es/species/3190474"
"Melaleuca citrina","Calistemo rojo","MYRTACEAE","628","https://www.gbif.org/es/species/5014"
"Enterolobium cyclocarpum","Orejero","MIMOSACEAE","605","https://www.gbif.org/es/species/2961150"
"Anacardium excelsum","Caracolí","ANACARDIACEAE","603","https://www.gbif.org/es/species/5544303"
"Didymopanax morototoni","Pategallina","DESCONOCIDA","593","https://www.gbif.org/es/species/3038523"
"Brownea grandiceps","Árbol de la cruz","CAESALPINIACEAE","591","https://www.gbif.org/es/species/2970463"
"Cnidoscolus aconitifolius","Papayuelo","EUPHORBIACEAE","588","https://www.gbif.org/es/species/3073512"
"Wodyetia bifurcata","Palma cola de zorro","PALMAE","575","https://www.gbif.org/es/species/2736620"
"Bixa orellana","Achiote","BIXACEAE","571","https://www.gbif.org/es/species/2874863"
"Brunfelsia uniflora","Francesina","SOLANACEAE","562","https://www.gbif.org/es/species/2932913"
"Artocarpus altilis","Árbol del pan","MORACEAE","553","https://www.gbif.org/es/species/2984573"
"Annona squamosa","Chirimoya","ANNONACEAE","536","https://www.gbif.org/es/species/5407099"
"Albizia carbonaria","Carbonero gigante","MIMOSACEAE","507","https://www.gbif.org/es/species/2973135"
"Averrhoa carambola","Carambolo","OXALIDACEAE","506","https://www.gbif.org/es/species/2891641"
"Erythroxylum coca","Coca","ERYTHROXYLACEAE","492","https://www.gbif.org/es/species/2873939"
"Terminalia buceras","Olivo negro","COMBRETACEAE","485","https://www.gbif.org/es/species/3698958"
"Syagrus romanzoffiana","Palmera pindo","PALMAE","484","https://www.gbif.org/es/species/5293897"
"Cassia grandis","Cañandonga","CAESALPINIACEAE","479","https://www.gbif.org/es/species/5357158"
"Syzygium cumini","Aceituno dulce","MYRTACEAE","472","https://www.gbif.org/es/species/3183840"
"Handroanthus ochraceus","Corteza amarilla","BIGNONIACEAE","460","https://www.gbif.org/es/species/4092146"
"Myrcia splendens","Guayabillo","MYRTACEAE","460","https://www.gbif.org/es/species/3174691"
"Clusia multiflora","Chagualo","CLUSIACEAE","456","https://www.gbif.org/es/species/7330264"
"Cupressus lusitanica","Ciprés","CUPRESSACEAE","450","https://www.gbif.org/es/species/2684046"
"Syzygium jambos","Pomarroso","MYRTACEAE","442","https://www.gbif.org/es/species/3183534"
"Bauhinia picta","Pata de buey","CAESALPINIACEAE","425","https://www.gbif.org/es/species/2953481"
"Cyrtostachys renda","Palma roja","MYRTACEAE","412","https://www.gbif.org/es/species/2735421"
"Erythrina poeppigiana","Pízamo","FABACEAE","404","https://www.gbif.org/es/species/5349755"
"Caryota mitis","Palma mariposa","PALMAE","398","https://www.gbif.org/es/species/2738902"
"Peltophorum pterocarpum","Acacia ferrugínea","CAESALPINIACEAE","394","https://www.gbif.org/es/species/2952775"
"Phyllanthus acidus","Grosella estrellada","EUPHORBIACEAE","391","https://www.gbif.org/es/species/5381567"
"Thespesia populnea","Clemón","MALVACEAE","390","https://www.gbif.org/es/species/3152795"
"Ficus variegata","Ficus variegado","MORACEAE","380",NULL
"Pritchardia pacifica","Abanico de Fiji","PALMAE","373","https://www.gbif.org/es/species/5294627"
"Pachira speciosa","Castaño","BOMBACACEAE","371","https://www.gbif.org/es/species/4073534"
"Livistona chinensis","Abanico de la China","PALMAE","370","https://www.gbif.org/es/species/2733469"
"Lafoensia punicifolia","Guayacán de Manizales","LYTHRACEAE","363","https://www.gbif.org/es/species/3989500"
"Ficus insipida","Higuera blanca","MORACEAE","349","https://www.gbif.org/es/species/6358534"
"Matisia cordata","Zapote","DESCONOCIDA","339","https://www.gbif.org/es/species/4073924"
"Cycas revoluta","Palma fúnebre","CYCADACEAE","335","https://www.gbif.org/es/species/2683217"
"Coccoloba uvifera","Uvita de playa","POLYGONACEAE","329","https://www.gbif.org/es/species/2888831"
"Ravenala madagascariensis","Palma del viajero","DESCONOCIDA","318","https://www.gbif.org/es/species/2763095"
"Caryota urens","Palma cola de pescado","PALMAE","314","https://www.gbif.org/es/species/2738914"
"Achatocarpus nigricans","Totocal","DESCONOCIDA","306","https://www.gbif.org/es/species/3752400"
"Ficus lyrata","Caucho lira","MORACEAE","297","https://www.gbif.org/es/species/5361899"
"Guadua angustifolia","Guadua","POACEAE","293","https://www.gbif.org/es/species/4155017"
"Muntingia calabura","Chitató","DESCONOCIDA","284","https://www.gbif.org/es/species/3152036"
"Spondias dulcis","Ciruela dulce","ANACARDIACEAE","282","https://www.gbif.org/es/species/3190595"
"Adenanthera pavonina","Chocho","DESCONOCIDA","278","https://www.gbif.org/es/species/2951846"
"Bismarckia nobilis","Palmera azul de Madagascar","PALMAE","277","https://www.gbif.org/es/species/2733941"
"Senna reticulata","Martín Galvis","CAESALPINIACEAE","267","https://www.gbif.org/es/species/2957303"
"Eucalyptus grandis","Eucalipto grandis","MYRTACEAE","259","https://www.gbif.org/es/species/3177028"
"Bambusa vulgaris","Bambú asiático","POACEAE","253","https://www.gbif.org/es/species/7661971"
"Archontophoenix alexandrae","Palma Alejandra","PALMAE","246","https://www.gbif.org/es/species/2732609"
"Sterculia apetala","Camajón","STERCULIACEAE","246","https://www.gbif.org/es/species/5406679"
"Fraxinus chinensis","Urapán","OLEACEAE","238","https://www.gbif.org/es/species/3172325"
"Persea caerulea","Aguacatillo","LAURACEAE","238","https://www.gbif.org/es/species/4175764"
"Ochroma pyramidale","Balso real","BOMBACACEAE","238","https://www.gbif.org/es/species/3152240"
"Cestrum nocturnum","Jazmín de noche","SOLANACEAE","233","https://www.gbif.org/es/species/2928791"
"Eugenia uniflora","Pitanga","MYRTACEAE","232","https://www.gbif.org/es/species/5416458"
"Theobroma cacao","Cacao","STERCULIACEAE","230","https://www.gbif.org/es/species/3152205"
"Hura crepitans","Ceiba de agua","EUPHORBIACEAE","227","https://www.gbif.org/es/species/5380015"
"Bursera tomentosa","Caraño","SOLANACEAE","222","https://www.gbif.org/es/species/7286860"
"Plinia cauliflora","Jabuticaba","DESCONOCIDA","221","https://www.gbif.org/es/species/5415571"
"Calliandra haematocephala","Carbonero de flor roja","MIMOSACEAE","208","https://www.gbif.org/es/species/2982155"
"Bactris gasipaes","Chontaduro","PALMAE","204","https://www.gbif.org/es/species/2733060"
"Myrsine guianensis","Cucharo","MYRSINACEAE","201","https://www.gbif.org/es/species/3169446"
"Flacourtia indica","Cerezo del gobernador","FLACOURTIACEAE","191","https://www.gbif.org/es/species/5331162"
"Platymiscium pinnatum","Guayacán trébol","FABACEAE","190","https://www.gbif.org/es/species/2944742"
"Attalea butyracea","Palma de vino","PALMAE","190","https://www.gbif.org/es/species/2732721"
"Mammea americana","Mamey","CLUSIACEAE","188","https://www.gbif.org/es/species/3189421"
"Gmelina arborea","Melina","VERBENACEAE","186","https://www.gbif.org/es/species/8247889"
"Anacardium occidentale","Marañón","ANACARDIACEAE","186","https://www.gbif.org/es/species/5421368"
"Ficus binnendijkii","Caucho alii","MORACEAE","164","https://www.gbif.org/es/species/7262699"
"Ceiba speciosa","Ceiba rosada","BOMBACACEAE","162","https://www.gbif.org/es/species/8688929"
"Licuala grandis","Palma abanico rizada","PALMAE","161","https://www.gbif.org/es/species/8008690"
"Pachira insignis","Zapotolongo","BOMBACACEAE","155","https://www.gbif.org/es/species/3152236"
"Acacia mangium","Acacia mangium","MIMOSACEAE","146","https://www.gbif.org/es/species/2979091"
"Schizolobium parahyba","Tambor","CAESALPINIACEAE","144","https://www.gbif.org/es/species/2945453"
"Washingtonia robusta","Abanico mexicano","PALMAE","141","https://www.gbif.org/es/species/5294595"
"Cecropia obtusifolia","Guarumo","CECROPIACEAE","140","https://www.gbif.org/es/species/2984473"
"Ficus microcarpa","Laurel de indias","MORACEAE","137","https://www.gbif.org/es/species/7467639"
"Tabernaemontana litoralis","Cojón de gato","APOCYNACEAE","137","https://www.gbif.org/es/species/3616406"
"Schinus terebinthifolia","Pimentero brasileño","ANACARDIACEAE","136","https://www.gbif.org/es/species/3660419"
"Melia azedarach","Alhelí","MELIACEAE","134","https://www.gbif.org/es/species/5914287"
"Annona cherimola","Chirimoyo","ANNONACEAE","133","https://www.gbif.org/es/species/5407147"
"Codiaeum variegatum","Croto","EUPHORBIACEAE","132","https://www.gbif.org/es/species/3071476"
"Ptychosperma macarthurii","Palma macarthur","PALMAE","132","https://www.gbif.org/es/species/2733897"
"Colubrina arborescens","Abejuelo","RHAMNACEAE","131","https://www.gbif.org/es/species/5372463"
"Triplaris americana","Varasanta","POLYGONACEAE","130","https://www.gbif.org/es/species/7707728"
"Trema micrantha","Zurrumbo","ULMACEAE","128","https://www.gbif.org/es/species/2984501"
"Aiphanes horrida","Corocito","PALMAE","124","https://www.gbif.org/es/species/2738639"
"Brugmansia arborea","Borrachero","SOLANACEAE","122","https://www.gbif.org/es/species/5341759"
"Jacaranda copaia","Pavito","BIGNONIACEAE","121","https://www.gbif.org/es/species/7298763"
"Maclura tinctoria","Dinde","MORACEAE","119","https://www.gbif.org/es/species/2984583"
"Archontophoenix cunninghamiana","Palma payanesa","PALMAE","117","https://www.gbif.org/es/species/2732621"
"Pithecellobium lanceolatum","Payandé","FABACEAE","116","https://www.gbif.org/es/species/2962824"
"Eriobotrya japonica","Níspero japonés","ROSACEAE","116","https://www.gbif.org/es/species/3024146"
"Libidibia punctata","Ébano costeño","FABACEAE","113","https://www.gbif.org/es/species/3931553"
"Miconia squamulosa","Tuno esmeraldo","MELASTOMATACEAE","110","https://www.gbif.org/es/species/3866257"
"Cordia sebestena","Árbol nomeolvides","BORAGINACEAE","104","https://www.gbif.org/es/species/5341289"
"Annona reticulata","Anón","ANNONACEAE","104","https://www.gbif.org/es/species/5407123"
"Piper aduncum","Cordoncillo","PIPERACEAE","103","https://www.gbif.org/es/species/3086337"
"Luma apiculata","Arrayán","DESCONOCIDA","102","https://www.gbif.org/es/species/5420309"
"Garcinia madruno","Madroño","CLUSIACEAE","101","https://www.gbif.org/es/species/3713863"
"Manilkara zapota","Níspero","SAPOTACEAE","100","https://www.gbif.org/es/species/2885158"
"Miconia spicellata","Tuno","MELASTOMATACEAE","97","https://www.gbif.org/es/species/3866430"
"Pinus radiata","Pino candelabro","PINACEAE","96","https://www.gbif.org/es/species/5285727"
"Veitchia arecina","Palma Montgomery","DESCONOCIDA","96","https://www.gbif.org/es/species/5293072"
"Areca catechu","Palma de Betel","PALMAE","94","https://www.gbif.org/es/species/2736531"
"Psidium friedrichsthalianum","Guayaba de agua","MYRTACEAE","94","https://www.gbif.org/es/species/5420358"
"Calliandra tweedii","Borla de obispo","MIMOSACEAE","91","https://www.gbif.org/es/species/2982053"
"Lafoensia acuminata","Dorado","LYTHRACEAE","91","https://www.gbif.org/es/species/3989776"
"Annona glabra","Guanábano de playa","ANNONACEAE","90","https://www.gbif.org/es/species/5407100"
"Tamarindus indica","Tamarindo","CAESALPINIACEAE","90","https://www.gbif.org/es/species/2975768"
"Inga spectabilis","Guamo macheto","MIMOSACEAE","89","https://www.gbif.org/es/species/5357491"
"Jatropha curcas","Piñón","EUPHORBIACEAE","89","https://www.gbif.org/es/species/3072953"
"Euphorbia aphylla","Árbol desnudo","EUPHORBIACEAE","86","https://www.gbif.org/es/species/3069165"
"Ficus religiosa","Higuera de las pagodas","MORACEAE","85","https://www.gbif.org/es/species/5361935"
"Erythrina fusca","Búcaro","FABACEAE","85","https://www.gbif.org/es/species/5349620"
"Ixora finlaysoniana","Ixora blanca","RUBIACEAE","83","https://www.gbif.org/es/species/2905676"
"Ricinus communis","Higuerilla","EUPHORBIACEAE","82","https://www.gbif.org/es/species/5380041"
"Annona mucosa","Anón amazónico","DESCONOCIDA","82","https://www.gbif.org/es/species/5407571"
"Terminalia bellirica","Belérico","COMBRETACEAE","79","https://www.gbif.org/es/species/3189390"
"Spondias mombin","Jobo","ANACARDIACEAE","79","https://www.gbif.org/es/species/8185571"
"Coccoloba acuminata","Maíz tostao","POLYGONACEAE","76","https://www.gbif.org/es/species/7291417"
"Zanthoxylum fagara","Palo carey","RUTACEAE","75","https://www.gbif.org/es/species/3190090"
"Vachellia farnesiana ","Aromo","FABACEAE","74",NULL
"Ficus dendrocida","Caucho matapalo","MORACEAE","72","https://www.gbif.org/es/species/5572579"
"Urera baccifera","Pringamosa","URTICACEAE","72","https://www.gbif.org/es/species/7411905"
"Pseudobombax septenatum","Ceiba verde","BOMBACACEAE","71","https://www.gbif.org/es/species/4073614"
"Pinus patula","Pino pátula","PINACEAE","71","https://www.gbif.org/es/species/5285090"
"Gossypium barbadense","Algodón","MALVACEAE","69","https://www.gbif.org/es/species/3152666"
"Dypsis decaryi","Palma triangular","PALMAE","67","https://www.gbif.org/es/species/2736002"
"Huertea glandulosa","Cedro macho","MELIACEAE","66","https://www.gbif.org/es/species/3686262"
"Spondias purpurea","Ciruela de tierra caliente","ANACARDIACEAE","64","https://www.gbif.org/es/species/3190598"
"Elaeis oleifera","Nolí","PALMAE","61","https://www.gbif.org/es/species/8791596"
"Handroanthus serratifolius","Guayacán polvillo","BIGNONIACEAE","60","https://www.gbif.org/es/species/4092017"
"Ladenbergia oblongifolia","Cascarillo","RUBIACEAE","59","https://www.gbif.org/es/species/2908758"
"Citrus aurantiifolia","Limón pajarito","RUTACEAE","59","https://www.gbif.org/es/species/3190164"
"Eucalyptus deglupta","Eucalipto deglupta","MYRTACEAE","59","https://www.gbif.org/es/species/3176325"
"Artocarpus heterophyllus","Yaca","MORACEAE","56","https://www.gbif.org/es/species/2984565"
"Jatropha integerrima","Peregrina","EUPHORBIACEAE","55","https://www.gbif.org/es/species/3073017"
"Sabal mauritiiformis","Palmiche","PALMAE","55","https://www.gbif.org/es/species/2732482"
"Ficus crassinervia","Jagüey macho de Cuba","MORACEAE","54","https://www.gbif.org/es/species/5361897"
"Pouteria caimito","Caimo","SAPOTACEAE","52","https://www.gbif.org/es/species/2884788"
"Dypsis lastelliana","Palma cuelliroja","ARECACEAE","51","https://www.gbif.org/es/species/2735913"
"Mimosa trianae","Yopo peludo","FABACEAE","51","https://www.gbif.org/es/species/2970281"
"Lagerstroemia indica","Júpiter","LYTHRACEAE","51","https://www.gbif.org/es/species/3188725"
"Phyllanthus acuminatus","Grosella de Jamaica","PHYLLANTHACEAE","49","https://www.gbif.org/es/species/5381441"
"Chrysophyllum cainito","Caimito","SAPOTACEAE","47","https://www.gbif.org/es/species/2885828"
"Citharexylum subflavescens","Cajeto","VERBENACEAE","47","https://www.gbif.org/es/species/4085930"
"Ficus carica","Breva","MORACEAE","47","https://www.gbif.org/es/species/5361909"
"Eucalyptus globulus","Eucalipto globulus","MYRTACEAE","46","https://www.gbif.org/es/species/3176787"
