"nombre_cientifico","nombre_comun","familia","registros","gbif"
"Acacia melanoxylon","Acacia negra","MIMOSACEAE","45","https://www.gbif.org/es/species/2979000"
"Chrysobalanus icaco","Icaco","CHRYSOBALANACEAE","44","https://www.gbif.org/es/species/2985082"
"Morisonia odoratissima","Naranjuelo","CAPPARACEAE","41","https://www.gbif.org/es/species/12275380"
"Cinnamomum verum","Árbol de la canela","LAURACEAE","40","https://www.gbif.org/es/species/3033987"
"Ormosia velutina","Palo de macho","FABACEAE","40","https://www.gbif.org/es/species/7702855"
"Cecropia angustifolia","Yarumo negro","CECROPIACEAE","39","https://www.gbif.org/es/species/4013465"
"Bombax ceiba","Ceiba tolúa","MALVACEAE","38","https://www.gbif.org/es/species/3152226"
"Eucalyptus camaldulensis","Eucalipto camaldulensis","MYRTACEAE","38","https://www.gbif.org/es/species/11869920"
"Euphorbia cotinifolia","Lechero rojo","EUPHORBIACEAE","37","https://www.gbif.org/es/species/3067261"
"Petrea volubilis","Penitente","VERBENACEAE","37","https://www.gbif.org/es/species/2925536"
"Malpighia emarginata","Acerola","MALPIGHIACEAE","36","https://www.gbif.org/es/species/5421427"
"Sambucus nigra","Saúco","CAPRIFOLIACEAE","36","https://www.gbif.org/es/species/2888728"
"Alstonia scholaris","Alstonia","APOCYNACEAE","35","https://www.gbif.org/es/species/5414410"
"Duranta mutisii","Cruceto","VERBENACEAE","34","https://www.gbif.org/es/species/7297074"
"Terminalia ivorensis","Almendrillo","COMBRETACEAE","33","https://www.gbif.org/es/species/3189389"
"Phoenix dactylifera","Palma datilifera","PALMAE","32","https://www.gbif.org/es/species/6109699"
"Clitoria fairchildiana","Bohío","FABACEAE","32","https://www.gbif.org/es/species/2946600"
"Zygia longifolia","Pichindé","FABACEAE","32","https://www.gbif.org/es/species/5347452"
"Elaeagnus angustifolia","Árbol del paraíso","DESCONOCIDA","32","https://www.gbif.org/es/species/3039269"
"Casuarina equisetifolia","Pino australiano","CASUARINACEAE","32","https://www.gbif.org/es/species/2891930"
"Tectona grandis","Teca","VERBENACEAE","31","https://www.gbif.org/es/species/2925649"
"Flacourtia jangomas","Ciruela de Madagascar","FLACOURTIACEAE","31","https://www.gbif.org/es/species/5331164"
"Heptapleurum arboricola","Cheflera arboricola","ARALIACEAE","31","https://www.gbif.org/es/species/3038724"
"Erythrina variegata","Caraqueño","FABACEAE","31","https://www.gbif.org/es/species/5349581"
"Pterogyne nitens","Ibirá","FABACEAE","31","https://www.gbif.org/es/species/5352650"
"Pinus oocarpa","Pino amarillo","PINACEAE","30","https://www.gbif.org/es/species/5285220"
"Saribus rotundifolius","Livistona de Luzón","ARECACEAE","30","https://www.gbif.org/es/species/2733431"
"Vitex cymosa","Guayacán azul","VERBENACEAE","29","https://www.gbif.org/es/species/7309596"
"Citrus ×microcarpa","Naranjo miniatura","RUTACEAE","29",NULL
"Prosopis juliflora","Mesquite","DESCONOCIDA","29","https://www.gbif.org/es/species/5358460"
"Solanum wrightii","Lulo","SOLANACEAE","28","https://www.gbif.org/es/species/2931500"
"Bunchosia argentea","Ciruela de monte","MALPIGHIACEAE","28","https://www.gbif.org/es/species/3984105"
"Gardenia jasminoides","Gardenia","RUBIACEAE","28","https://www.gbif.org/es/species/5335125"
"Posoqueria longiflora","Azuceno de monte","RUBIACEAE","28","https://www.gbif.org/es/species/2893927"
"Triphasia trifolia","Cerezo asiático","RUTACEAE","27","https://www.gbif.org/es/species/3190406"
"Solanum americanum","Yerba mora","SOLANACEAE","27","https://www.gbif.org/es/species/2930222"
"Psidium cattleianum","Arazá","MYRTACEAE","27","https://www.gbif.org/es/species/5420641"
"Cordia lutea","Muyuyo","BORAGINACEAE","27","https://www.gbif.org/es/species/5661644"
"Cassia javanica","Acacia rosada","CAESALPINIACEAE","27","https://www.gbif.org/es/species/5357125"
"Ficus pertusa","Amatillo","MORACEAE","26","https://www.gbif.org/es/species/7944396"
"Henriettea goudotiana","Mortiño verdadero","MELASTOMATACEAE","25","https://www.gbif.org/es/species/5938615"
"Andira inermis","Borombolo","FABACEAE","25","https://www.gbif.org/es/species/2952214"
"Juglans neotropica","Cedro negro","JUGLANDACEAE","25","https://www.gbif.org/es/species/3054364"
"Pouteria sapota","Zapote costeño","SAPOTACEAE","25","https://www.gbif.org/es/species/2884162"
"Monoon longifolium","Pino hindú","ANNONACEAE","25","https://www.gbif.org/es/species/11001249"
"Ptychosperma elegans","Palmera solitaria","PALMAE","24","https://www.gbif.org/es/species/2733861"
"Prunus domestica","Ciruela chilena","ROSACEAE","24","https://www.gbif.org/es/species/7931731"
"Tetrorchidium rubrivenium","Copachí","DESCONOCIDA","24","https://www.gbif.org/es/species/3062925"
"Ficus sp.","Ficus","MORACEAE","23",NULL
"Ficus americana","Caucho sabanero","MORACEAE","23","https://www.gbif.org/es/species/5361926"
"Erythrina rubrinervia","Poroto","FABACEAE","23","https://www.gbif.org/es/species/5349665"
"Hyophorbe verschaffeltii","Palma huso","PALMAE","22","https://www.gbif.org/es/species/2735589"
"Kigelia africana","Árbol salchicha","BIGNONIACEAE","22","https://www.gbif.org/es/species/3172561"
"Senna polyphylla","Hawai","ANACARDIACEAE","22","https://www.gbif.org/es/species/2957869"
"Macadamia integrifolia","Macadamia","PROTEACEAE","22","https://www.gbif.org/es/species/2891785"
"Nectandra villosa","Laurel","LAURACEAE","22","https://www.gbif.org/es/species/7304555"
"Casearia sylvestris","Botoncillo","SALICACEAE","22","https://www.gbif.org/es/species/5331148"
"Euterpe oleracea","Azaí","ARECACEAE","21","https://www.gbif.org/es/species/5293398"
"Erythrina edulis","Chachafruto","FABACEAE","21","https://www.gbif.org/es/species/5349541"
"Phoenix reclinata","Palmera de Senegal","DESCONOCIDA","20","https://www.gbif.org/es/species/5293164"
"Albizia julibrissin","Árbol de la seda","MIMOSACEAE","19","https://www.gbif.org/es/species/2972983"
"Couratari guianensis","Congolo","DESCONOCIDA","18","https://www.gbif.org/es/species/3083111"
"Posoqueria latifolia","Fruta de mono","RUBIACEAE","18","https://www.gbif.org/es/species/2893899"
"Piper auritum","Pimienta sagrada","PIPERACEAE","18","https://www.gbif.org/es/species/3086352"
"Himatanthus articulatus","Caimo plátano","DESCONOCIDA","18","https://www.gbif.org/es/species/3621740"
"Inga marginata","Guaba","FABACEAE","18","https://www.gbif.org/es/species/7546887"
"Garcia nutans","Avellano","EUPHORBIACEAE","17","https://www.gbif.org/es/species/3071459"
"Casearia corymbosa","Varablanca","FLACOURTIACEAE","17","https://www.gbif.org/es/species/5603969"
"Dendropanax arboreus","Cascabel","ARALIACEAE","17","https://www.gbif.org/es/species/3035093"
"Bursera simaruba","Indio desnudo","BURSERACEAE","17","https://www.gbif.org/es/species/3190450"
"Ficus popenoei","Ficus tolima","MORACEAE","16","https://www.gbif.org/es/species/7262862"
"Hibiscus elatus","Majagua","MALVACEAE","16","https://www.gbif.org/es/species/7115793"
"Machaerium capote","Pico de loro","FABACEAE","15","https://www.gbif.org/es/species/5354954"
"Crateva tapia","Manzana de playa","CAPPARACEAE","15","https://www.gbif.org/es/species/3054262"
"Calliandra riparia","Carbonero de flor blanca","FABACEAE","15","https://www.gbif.org/es/species/2982275"
"Euphorbia pulcherrima","Flor de pascua","EUPHORBIACEAE","14","https://www.gbif.org/es/species/3066465"
"Pachira glabra","Castaña de agua","MALVACEAE","14","https://www.gbif.org/es/species/4073899"
"Catalpa longissima","Crispeto","BIGNONIACEAE","14","https://www.gbif.org/es/species/3172614"
"Punica granatum","Granada","PUNICACEAE","14","https://www.gbif.org/es/species/5420901"
"Heliocarpus americanus","Balso blanco","DESCONOCIDA","13","https://www.gbif.org/es/species/4259460"
"Piper tuberculatum","Pipilongo","PIPERACEAE","13","https://www.gbif.org/es/species/3086328"
"Litchi chinensis","Lichi","DESCONOCIDA","13","https://www.gbif.org/es/species/3190002"
"Parkinsonia aculeata","Retama espinosa","CAESALPINIACEAE","12","https://www.gbif.org/es/species/5357217"
"Gustavia speciosa","Cocuelo blanco","LECYTHIDACEAE","12","https://www.gbif.org/es/species/5383796"
"Cordia tetrandra","Canalete de río","BORAGINACEAE","12","https://www.gbif.org/es/species/5660556"
"Podocarpus oleifolius","Pino colombiano","PODOCARPACEAE","12","https://www.gbif.org/es/species/5286006"
"Hyophorbe lagenicaulis","Palma mascarena","DESCONOCIDA","12","https://www.gbif.org/es/species/2735592"
"Melaleuca glauca","Calistemo blanco","MYRTACEAE","11","https://www.gbif.org/es/species/5415753"
"Cycas circinalis","Patubo","CYCADACEAE","11","https://www.gbif.org/es/species/2683264"
"Hevea guianensis","Siringa","EUPHORBIACEAE","11","https://www.gbif.org/es/species/3071199"
"Calliandra purdiei","Carbonero morado","MIMOSACEAE","11","https://www.gbif.org/es/species/2982326"
"Olea europaea","Olivo","DESCONOCIDA","10","https://www.gbif.org/es/species/5415040"
"Cajanus cajan","Guandú","FABACEAE","10","https://www.gbif.org/es/species/7587087"
"Melaleuca quinquenervia","Árbol de corcho","MYRTACEAE","10","https://www.gbif.org/es/species/5415832"
"Platycladus orientalis","Pino libro","CUPRESSACEAE","10","https://www.gbif.org/es/species/2684855"
"Homalolepis cedron","Cedrón","SIMAROUBACEAE","9","https://www.gbif.org/es/species/9250677"
"Jacaranda obtusifolia","Flormorado","BIGNONIACEAE","9","https://www.gbif.org/es/species/7298634"
"Syzygium phillyreifolium","Cereza de río grande","MYRTACEAE","9","https://www.gbif.org/es/species/3182742"
"Plinia cauliflora","Jabuticaba","MYRTACEAE","9","https://www.gbif.org/es/species/5415571"
"Salix humboldtiana","Sauce macho","SALICACEAE","9","https://www.gbif.org/es/species/5372914"
"Geonoma undata","Cola de pescado","PALMAE","8","https://www.gbif.org/es/species/2734311"
"Hamelia patens","Coralito","RUBIACEAE","8","https://www.gbif.org/es/species/2902066"
"Livistona decora","Palmera llorona","DESCONOCIDA","8","https://www.gbif.org/es/species/2733446"
"Phoenix canariensis","Palma canaria","PALMAE","8","https://www.gbif.org/es/species/7445284"
"Morus alba","Mora","MORACEAE","8","https://www.gbif.org/es/species/5361889"
"Luehea seemannii","Guásimo colorado","DESCONOCIDA","8","https://www.gbif.org/es/species/7149790"
"Ficus benghalensis","Higuera de Bengala","MORACEAE","8","https://www.gbif.org/es/species/5361919"
"Tabebuia roseoalba","Guayacán de flor blanca","BIGNONIACEAE","8","https://www.gbif.org/es/species/4091431"
"Ravenea rivularis","Palma Gora","PALMAE","8","https://www.gbif.org/es/species/2739031"
"Ficus rubiginosa","Higuera de Puerto Jackson","MORACEAE","7","https://www.gbif.org/es/species/5361929"
"Leuenbergeria bleo","Bleo","CACTACEAE","7","https://www.gbif.org/es/species/10629177"
"Cariniana pyriformis","Abarco","LECYTHIDACEAE","7","https://www.gbif.org/es/species/3083028"
"Caryodendron orinocense","Inchi","EUPHORBIACEAE","7","https://www.gbif.org/es/species/3055897"
"Peltogyne paniculata","Nazareno","DESCONOCIDA","7","https://www.gbif.org/es/species/2952728"
"Dalbergia retusa","Cocobolo","DESCONOCIDA","7","https://www.gbif.org/es/species/2968539"
"Terminalia amazonia","Cortés amarillo","COMBRETACEAE","7","https://www.gbif.org/es/species/3699754"
"Ficus cyathistipula","Higuera africana","MORACEAE","7","https://www.gbif.org/es/species/7262354"
"Fraxinus americana","Fresno blanco americano","OLEACEAE","7","https://www.gbif.org/es/species/3172327"
"Cinnamomum camphora","Alcanfor","LAURACEAE","7","https://www.gbif.org/es/species/3033991"
"Pseudalbizzia niopoides","Harina seca","FABACEAE","7","https://www.gbif.org/es/species/12075529"
"Vernicia fordii","Tung asiatico","DESCONOCIDA","6","https://www.gbif.org/es/species/3074906"
"Coccoloba caracasana","Palo bolero","POLYGONACEAE","6","https://www.gbif.org/es/species/7291324"
"Eugenia stipitata","Guayabo amazónico","MYRTACEAE","6","https://www.gbif.org/es/species/10503673"
"Pseudolmedia laevigata","Lecheperra","DESCONOCIDA","6","https://www.gbif.org/es/species/3764182"
"Albizia saman","Saman, Genizaro","MIMOSACEAE","6","https://www.gbif.org/es/species/2972949"
"Cassia moschata","Carao amarillo","FABACEAE","6","https://www.gbif.org/es/species/5357122"
"Callistemon citrinus","Eucalipto ornamental, Calistemon","MYRTACEAE","6","https://www.gbif.org/es/species/3173413"
"Psychotria micrantha","Sicotria","RUBIACEAE","5","https://www.gbif.org/es/species/2923258"
"Couroupita guianensis","Bala de cañón","LECYTHIDACEAE","5","https://www.gbif.org/es/species/3082562"
"Citrus medica","Toronja","RUTACEAE","5","https://www.gbif.org/es/species/3190157"
"Gynerium sagittatum","Caña brava","DESCONOCIDA","5","https://www.gbif.org/es/species/5289743"
"Sabal palmetto","Palmicha","PALMAE","5","https://www.gbif.org/es/species/4925538"
"Tabebuia ochracea (Cham.) Standl.","Guayacan","BIGNONIACEAE","5","https://www.gbif.org/es/species/7298479"
"Corymbia torelliana","Cadagi","MYRTACEAE","5","https://www.gbif.org/es/species/5418406"
"Euterpe precatoria","Palmito","PALMAE","5","https://www.gbif.org/es/species/5293425"
"Cespedesia spathulata","Pacó","OCHNACEAE","5","https://www.gbif.org/es/species/3695801"
"Senna mexicana","Acacia china","CAESALPINIACEAE","4","https://www.gbif.org/es/species/2957605"
"Grevillea robusta","Roble de Australia","PROTEACEAE","4","https://www.gbif.org/es/species/2891791"
"Ficus tonduzii","Higuerón","MORACEAE","4","https://www.gbif.org/es/species/5572425"
"Heliocarpus americanus","Balso blanco","MALVACEAE","4","https://www.gbif.org/es/species/4259460"
"Ficus clusiifolia","Higuera roja","MORACEAE","4","https://www.gbif.org/es/species/10720567"
"Juniperus rigida","Enebro de las Pagodas","DESCONOCIDA","4","https://www.gbif.org/es/species/2684517"
"Koelreuteria elegans","Llama China","SAPINDACEAE","4","https://www.gbif.org/es/species/5421178"
"Lecythis tuyrana","Olleto","LECYTHIDACEAE","4","https://www.gbif.org/es/species/3082354"
"Eugenia pyriformis","Uvaia","MYRTACEAE","4","https://www.gbif.org/es/species/5417616"
"Lonchocarpus sericeus","Garrapato","FABACEAE","4","https://www.gbif.org/es/species/2969156"
"Cyatheaceae sp. 01","Helecho arborescente","CYATHEACEAE","4","https://www.gbif.org/es/species/6624"
"Nicotiana glauca","Tabaco moro","SOLANACEAE","4","https://www.gbif.org/es/species/2928783"
"Cordia dentata","Uvito","BORAGINACEAE","4","https://www.gbif.org/es/species/5361859"
"Radermachera sinica","Árbol serpiente","BIGNONIACEAE","4","https://www.gbif.org/es/species/4092178"
"Rhapis excelsa","Palma rafis","PALMAE","4","https://www.gbif.org/es/species/2736747"
"Santalum album","Sándalo","DESCONOCIDA","4","https://www.gbif.org/es/species/2889785"
"Cascabela thevetia","Cojón de cabrito","APOCYNACEAE","4","https://www.gbif.org/es/species/3169652"
"Carludovica palmata","Iraca","DESCONOCIDA","4","https://www.gbif.org/es/species/2860922"
"Calophyllum brasiliense","Aceite maría","CLUSIACEAE","4","https://www.gbif.org/es/species/5421069"
"Solanum donianum","Berenjena macho","SOLANACEAE","4","https://www.gbif.org/es/species/2929566"
"Brunfelsia latifolia","Mónaca","SOLANACEAE","4","https://www.gbif.org/es/species/3799916"
"Acer saccharum","Arce azucarero","SAPINDACEAE","4","https://www.gbif.org/es/species/3189859"
"Xylopia aromatica","Sembé","DESCONOCIDA","4","https://www.gbif.org/es/species/3157126"
"Zanthoxylum schreberi","Justarrazón","RUTACEAE","4","https://www.gbif.org/es/species/7792749"
"Tabernaemontana persicariifolia","Palo víbora","APOCYNACEAE","3","https://www.gbif.org/es/species/3615078"
"Palicourea sp.","Cafeto de monte","RUBIACEAE","3","https://www.gbif.org/es/species/2898662"
"Theobroma grandiflorum","Copoazú","STERCULIACEAE","3","https://www.gbif.org/es/species/3152208"
"Pinus caribaea","Pino caribeño","PINACEAE","3","https://www.gbif.org/es/species/5285740"
"Caesalpinia ebano H. Karst.","Ebano, Ébano Costeño","CAESALPINIACEAE","3","https://www.gbif.org/es/species/2958487"
"Retrophyllum rospigliosii","Pino chaquiro","PODOCARPACEAE","3","https://www.gbif.org/es/species/2687731"
"Paulownia tomentosa","Paulonia","DESCONOCIDA","3","https://www.gbif.org/es/species/3170823"
"Clinostigma ponapense","Palma de Ponape","ARECACEAE","3","https://www.gbif.org/es/species/2735378"
"Dillenia indica","Manzana de elefante","DESCONOCIDA","3","https://www.gbif.org/es/species/5383898"
"Adansonia digitata","Baobab","MALVACEAE","3","https://www.gbif.org/es/species/5406695"
"Matayba elegans","Zanca de mula","DESCONOCIDA","3","https://www.gbif.org/es/species/3784371"
"Tipuana tipu","Palo rosa","FABACEAE","2","https://www.gbif.org/es/species/5352512"
"Allophylus angustatus","Pateloro","SAPINDACEAE","2","https://www.gbif.org/es/species/7265039"
"Alibertia patinoi","Borojó","RUBIACEAE","2","https://www.gbif.org/es/species/7825670"
"Ficus velutina","Herrerún","MORACEAE","2","https://www.gbif.org/es/species/5571745"
"Juglans cinerea","Nogal blanco americano","JUGLANDACEAE","2","https://www.gbif.org/es/species/3054352"
"Phytolacca dioica","Ombú","PHYTOLACCACEAE","2","https://www.gbif.org/es/species/7309625"
"Ochna thomasiana","Árbol mickey mouse","OCHNACEAE","2","https://www.gbif.org/es/species/3189677"
"Triplaris weigeltiana","Guacamayo","POLYGONACEAE","2","https://www.gbif.org/es/species/4037419"
"Phenax mexicanus","Ortiguilla","URTICACEAE","2","https://www.gbif.org/es/species/7300639"
"Xylopia ligustrifolia","Burilico","DESCONOCIDA","2","https://www.gbif.org/es/species/3157016"
"Roupala montana","Palo de zorrillo","PROTEACEAE","2","https://www.gbif.org/es/species/7831077"
"Vismia guianensis","Carate","HYPERICACEAE","2","https://www.gbif.org/es/species/7330275"
"Gustavia superba","Membrillo","LECYTHIDACEAE","2","https://www.gbif.org/es/species/5383848"
"Filicium decipiens","Árbol de helecho","SAPINDACEAE","2","https://www.gbif.org/es/species/3189977"
"Wettinia kalbreyeri","Macana","ARECACEAE","2","https://www.gbif.org/es/species/2736959"
"Conocarpus cf. erectus L.","Mangle botoncillo","COMBRETACEAE","2","https://www.gbif.org/es/species/5421045"
"Protium apiculatum","Anime","BURSERACEAE","2","https://www.gbif.org/es/species/3992474"
"Pterocarpus indicus","Caoba filipina","FABACEAE","2","https://www.gbif.org/es/species/5349242"
"Pterocarpus officinalis","Almanegra","FABACEAE","2","https://www.gbif.org/es/species/5349333"
"Ceiba schottii","Ceiba de Yucatán","MALVACEAE","2","https://www.gbif.org/es/species/8151353"
"Podocarpus macrophyllus","Kusamaki","ARAUCARIACEAE","2","https://www.gbif.org/es/species/5285930"
"Morisonia amplissima","Chucho","CAPPARACEAE","2","https://www.gbif.org/es/species/9660819"
"Xylosma spiculifera","Corono","SALICACEAE","2","https://www.gbif.org/es/species/3878935"
"Zanthoxylum gentryi","Tachuelo negro","RUTACEAE","2","https://www.gbif.org/es/species/3838196"
"Chloroleucon mangense","Palo fierro","MIMOSACEAE","2","https://www.gbif.org/es/species/2943053"
"Brugmansia aurea","Floripondio ecuatoriano","SOLANACEAE","2","https://www.gbif.org/es/species/5581099"
"Delostoma integrifolium","Navajuelo","BIGNONIACEAE","2","https://www.gbif.org/es/species/4093319"
"Pandanus utilis","Pandanos","PANDANACEAE","2","https://www.gbif.org/es/species/5327557"
"Casimiroa edulis","Mango matasanos","RUTACEAE","2","https://www.gbif.org/es/species/3190134"
"Carpentaria acuminata","Carpentaria","DESCONOCIDA","2","https://www.gbif.org/es/species/5293727"
"Magnolia delavayi","Magnolia","MAGNOLIACEAE","2","https://www.gbif.org/es/species/3153656"
"Yucca arborescens","Yuca arborea","ASPARAGACEAE","2","https://www.gbif.org/es/species/2775596"
"Pachypodium lamerei","Paquipodio de Madagascar","APOCYNACEAE","2","https://www.gbif.org/es/species/5535474"
"Garcinia cochinchinensis","Mangostino amarillo","CLUSIACEAE","2","https://www.gbif.org/es/species/3715113"
"Pimenta dioica","Pimienta de Tabasco","MYRTACEAE","2","https://www.gbif.org/es/species/3186061"
"Amphitecna latifolia","Calabazo de playa","BIGNONIACEAE","2","https://www.gbif.org/es/species/3172583"
"Euphorbia sp.","Euforbia","EUPHORBIACEAE","2","https://www.gbif.org/es/species/11397237"
"Laetia americana","Manteco","SALICACEAE","2","https://www.gbif.org/es/species/3880220"
"Ocotea sp.","Laurel chaquiro","DESCONOCIDA","2","https://www.gbif.org/es/species/3034076"
"Acca sellowiana","Feijoa","MYRTACEAE","1","https://www.gbif.org/es/species/5418629"
"Ravenala madagascariensis","Palma del viajero","STRELITZIACEAE","1","https://www.gbif.org/es/species/2763095"
"Platypodium elegans","Lomo de caimán","DESCONOCIDA","1","https://www.gbif.org/es/species/2977383"
"Pittosporum undulatum","Jazmín australiano","PITTOSPORACEAE","1","https://www.gbif.org/es/species/2986239"
"Clausena lansium","Wampi","RUTACEAE","1","https://www.gbif.org/es/species/3190413"
"Salix babylonica","Sauce llorón","SALICACEAE","1","https://www.gbif.org/es/species/5372639"
"Pereskia grandifolia","Cactus rosa brasileño","CACTACEAE","1","https://www.gbif.org/es/species/5384214"
"Schefflera arboricola","Cheflera enana, Cheflera arboricola","ARALIACEAE","1","https://www.gbif.org/es/species/8322892"
"Senna pistaciifolia","Alcaparro","CAESALPINIACEAE","1","https://www.gbif.org/es/species/2956999"
"Yucca gigantea","Palma de yuca","ASPARAGACEAE","1","https://www.gbif.org/es/species/2775716"
"Oenocarpus bataua","Palma milpesos","DESCONOCIDA","1","https://www.gbif.org/es/species/2735462"
"Siparuna aspera","Turma de mono","SIPARUNACEAE","1","https://www.gbif.org/es/species/3782734"
"Ocotea cf. tessmannii","Tablero","LAURACEAE","1","https://www.gbif.org/es/species/4181677"
"Nerium oleander","Habano","APOCYNACEAE","1","https://www.gbif.org/es/species/3169756"
"Myroxylon balsamum","Bálsamo","FABACEAE","1","https://www.gbif.org/es/species/5357190"
"Cupaniopsis anacardioides","Tuquerú","SAPINDACEAE","1","https://www.gbif.org/es/species/3189958"
"Cupressus macrocarpa","Cedro de Monterrey","CUPRESSACEAE","1","https://www.gbif.org/es/species/2684070"
"Byrsonima spicata","Peralejo","MALPIGHIACEAE","1","https://www.gbif.org/es/species/3191348"
"Muntingia calabura","Chitató","MUNTINGIACEAE","1","https://www.gbif.org/es/species/3152036"
"Bulnesia carrapo Killip y Dugand","Guayacan, Guayacan de bola, Guayacan Carrapo","ZYGOPHYLLACEAE","1","https://www.gbif.org/es/species/3987062"
"Brosimum guianense","Granadillo","MORACEAE","1","https://www.gbif.org/es/species/7374879"
"Dipteryx cf. oleifera","Choibá","FAGACEAE","1","https://www.gbif.org/es/species/2947126"
"Matisia cordata","Zapote","MALVACEAE","1","https://www.gbif.org/es/species/4073924"
"Artocarpus communis","Arbol del pan","MORACEAE","1","https://www.gbif.org/es/species/2984574"
"Araucaria bidwillii","Araucaria australiana","ARAUCARIACEAE","1","https://www.gbif.org/es/species/2684918"
"Magnolia champaca","Champaca","MAGNOLIACEAE","1","https://www.gbif.org/es/species/3153099"
"Livistona drudei","Latania","PALMAE","1","https://www.gbif.org/es/species/2733422"
"Licania tomentosa (Benth.) Fritsch","Oiti","CHRYSOBALANACEAE","1","https://www.gbif.org/es/species/2985499"
"Libidibia coriaria","Divi-divi","CAESALPINIACEAE","1","https://www.gbif.org/es/species/2958707"
"Leucaena magnifica","Leucaena del Salvador","MIMOSACEAE","1","https://www.gbif.org/es/species/2970359"
"Alnus acuminata","Aliso","BETULACEAE","1","https://www.gbif.org/es/species/2876131"
"Alchornea triplinervia","Escobo","EUPHORBIACEAE","1","https://www.gbif.org/es/species/3055511"
"Joannesia princeps","Nuez de arará","EUPHORBIACEAE","1","https://www.gbif.org/es/species/3075087"
"Jacquinia arborea","Barbasco","PRIMULACEAE","1","https://www.gbif.org/es/species/3169485"
"Trophis caucana","Guáimaro","MORACEAE","1","https://www.gbif.org/es/species/3766728"
"Ficus goldmanii","Higuera negra","MORACEAE","1","https://www.gbif.org/es/species/5571045"
"Hasseltia floribunda","Pechuga de gallina","DESCONOCIDA","1","https://www.gbif.org/es/species/7760145"
"Albizia coriaria","Mugavu","FABACEAE","1","https://www.gbif.org/es/species/2972898"
"Hamamelis mollis","Avellano de bruja","RUBIACEAE","1","https://www.gbif.org/es/species/7889215"
"Ceiba samauma","Volador","MALVACEAE","1","https://www.gbif.org/es/species/7981929"
"Pseudobombax ellipticum","Coquito","MALVACEAE","1","https://www.gbif.org/es/species/3152212"
"Plumeria pudica","Ramo de novia","APOCYNACEAE","1","https://www.gbif.org/es/species/3614691"
"Plumeria cutinifolia","Amancayo amarillo","APOCYNACEAE","1","https://www.gbif.org/es/species/3169672"
"Pyracantha coccinea","Piracanta","ROSACEAE","1","https://www.gbif.org/es/species/2988188"
